Rank,Name,Overall %,EV,Win %,Tie %,Occurrence %,Cumulative %
1,AA,31.0841,2.1084,30.8713,0.4961,0.4524,0.4524
2,KK,26.0894,1.6089,25.8275,0.6074,0.4525,0.905
3,QQ,22.2212,1.2221,21.8856,0.7683,0.4525,1.3575
4,AKs,20.688,1.0688,19.8252,1.902,0.3017,1.6593
5,JJ,19.3353,0.9335,18.924,0.9333,0.4525,2.1118
6,AQs,19.2401,0.924,18.2624,2.1726,0.3016,2.4135
7,KQs,18.6358,0.8635,17.6909,2.1026,0.3016,2.7151
8,AJs,18.1736,0.8173,17.077,2.4479,0.3016,3.0168
9,KJs,17.6349,0.7634,16.5778,2.3642,0.3016,3.3184
10,ATs,17.3547,0.7354,16.1316,2.7362,0.3017,3.6201
11,QJs,17.2198,0.7219,16.1506,2.3949,0.3016,3.9217
12,AKo,17.2111,0.7211,16.3175,1.9688,0.9049,4.8267
13,TT,17.1534,0.7153,16.6618,1.1088,0.4525,5.2793
14,KTs,16.8955,0.6895,15.726,2.6211,0.3016,5.5809
15,QTs,16.5626,0.6562,15.3893,2.6348,0.3016,5.8826
16,JTs,16.562,0.6562,15.3473,2.7274,0.3016,6.1843
17,99,15.5571,0.5557,15.1901,0.8574,0.4524,6.6367
18,AQo,15.5415,0.5541,14.5226,2.2635,0.9049,7.5417
19,A9s,15.3789,0.5378,14.1872,2.6827,0.3016,7.8433
20,KQo,15.095,0.5095,14.1114,2.1882,0.9049,8.7483
21,K9s,14.8481,0.4848,13.755,2.4634,0.3017,9.05
22,T9s,14.8428,0.4842,13.6654,2.6547,0.3017,9.3517
23,A8s,14.7654,0.4765,13.4933,2.8545,0.3017,9.6534
24,J9s,14.5656,0.4565,13.4481,2.5216,0.3016,9.9551
25,Q9s,14.5265,0.4526,13.4438,2.4445,0.3016,10.2567
26,88,14.4681,0.4468,14.1041,0.8549,0.4525,10.7093
27,A5s,14.4531,0.4453,12.9996,3.2314,0.3017,11.011
28,AJo,14.2898,0.4289,13.1442,2.5567,0.905,11.916
29,A7s,14.2841,0.4284,12.9457,2.9957,0.3017,12.2177
30,A4s,14.2022,0.4202,12.8249,3.0527,0.3017,12.5194
